Product ID;Image URLs (x,y,z...);Name *;Kategoria;index #;Price tax included;discount percent;discount from; discount to;tax rule;Quantity;Active (0/1);description;tax rule
11;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6778/hoodie-copy.jpg;Zip Hoodie Lanek EXTRAVAGANZA Black; Ubrania, Bluzy;demo_11;299,99 zł;0;20.12.2022;20.01.2023;1;934;"Oficjalna bluza z suwakiem promująca projekt Kamil Lanek - EXTRAVAGANZA.Nadruk wykonany metodą sitodruku.Zamek metalowy.Gramatura 380g95 bawełna 5% poliesterWyprodukowane w Polsce.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
66
68
70
72
75


Szerokość pod pachami
57
59
61
64
66


Długość rękawa
63
64
65
66
67


";1;1
12;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6834/TEES-1-REG-2-copy.png;T-shirt White 2115 Pretty Boy Black; Ubrania, Koszulki;demo_12;119,99 zł;0;20.12.2022;20.01.2023;1;662;" 
Oficjalna koszulka promująca projekt “Pretty Boy” White’a 2115.
T-shirt o kroju oversize.Nadruki wykonane metodą DTG. 100% najlepszej jakości bawełna, gramatura 185gWyprodukowane w Polsce.
 



 
Rozmiar


 
S
M
L
XL




Długość całkowita
74
76
78
80


Szerokość pod pachami
62
64
68
70



 ";1;1
13;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6860/PRODUKT-WWW.png,https://sbmstore.pl//userdata/public/gfx/6860/PRODUKT-WWW.png,https://sbmstore.pl//userdata/public/gfx/6862/FRONT.png,https://sbmstore.pl//userdata/public/gfx/6861/TYL.png;T-shirt Kinny Zimmer Letnisko Tour White; Ubrania, Koszulki;demo_13;119,99 zł;0;20.12.2022;20.01.2023;1;411;"Słońce za oknem, dwucyfrowa liczba na termometrze i luźne t-shirty. Wszystko wskazuje na to, że nadeszło lato. Jego nieodłączną częścią są także plenerowe koncerty, a tych Kinny Zimmer w najbliższym czasie ma w planie przynajmniej kilka. Jesteśmy przekonani, że oficjalna koszulka koncertowa autora ""Letniska"" idealnie wpisze się w dress code każdego z nich.
 
Nadruk wykonany metodą sitodruku.Gramatura 180g100% najlepszej jakości bawełna.Wyprodukowane w Polsce.
 



 
Rozmiar


 
S
M
L
XL




Obwód klatki

113

117
121
125


Długość całkowita
68,5
71
73,5
76


Długość rękawa
22,5
23,8
25
26,3


";1;1
14;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6801/FURIA-Packshots---hoodie-2.jpg;Hoodie SBM x FURIA Black; Ubrania, Bluzy;demo_14;259,99 zł;0;20.12.2022;20.01.2023;1;653;"Oficjalna bluza promująca ""LETNISKO"" powstała we współpracy SBM x FURIA.
Nadruk wykonany metodą sitodruku i DTF. Gramatura 280g90% najlepszej jakości bawełna. 10% poliester. Wyprodukowane w Polsce.
 



 
Rozmiar


 
S
M
L
XL




Szerokość pod pachami

 58

 60
 61
 63


Długość całkowita
 63
 65
 68
 71


";1;1
15;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6546/sbm-tshirt-HEADS-1-front.jpg,https://sbmstore.pl//userdata/public/gfx/6546/sbm-tshirt-HEADS-1-front.jpg,https://sbmstore.pl//userdata/public/gfx/6548/sbm-tshirt-HEADS-2-back.jpg;T-shirt Bedoes & Lanek Skulls Black; Ubrania, Koszulki;demo_15;99,99 zł;0;20.12.2022;20.01.2023;1;406;"Oficjalny t-shirt wyprodukowany na potrzeby trasy koncertowej Bedoesa i Lanka ""Szlak Wygnańców"".Z przodu i z tyłu nadruk wykonany metodą sitodruku.100 % najlepszej jakości bawełna.Wyprodukowane w Polsce.RozmiarXSSMLXLXXLDługość całkowita697174788085Szerokość pod pachami4950,554,557,56061";1;1
16;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6725/white_front.jpg,https://sbmstore.pl//userdata/public/gfx/6725/white_front.jpg,https://sbmstore.pl//userdata/public/gfx/6724/white_back.jpg;T-shirt Hotel Maffija 2 Frozen White; Ubrania, Koszulki;demo_16;99,99 zł;0;20.12.2022;20.01.2023;1;648;"Oficjalny merch projektu Hotel Maffija 2.T-shirt o kroju oversize.Na piersi haft.Na plecach nadruk wykonany metodą sitodruku.100% najlepszej jakości bawełna.Gramatura 180g/m2.Wyprodukowane w Polsce.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
70
72
74
76
79


Szerokość pod pachami
60
62
65
67
69


";1;1
17;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6726/black-front.jpg,https://sbmstore.pl//userdata/public/gfx/6726/black-front.jpg,https://sbmstore.pl//userdata/public/gfx/6727/black_back.jpg;T-shirt Hotel Maffija 2 Frozen Black; Ubrania, Koszulki;demo_17;99,99 zł;0;20.12.2022;20.01.2023;1;660;"Oficjalny merch projektu Hotel Maffija 2.T-shirt o kroju oversize.Na piersi haft.Na plecach nadruk wykonany metodą sitodruku.100% najlepszej jakości bawełna.Gramatura 180g/m2.Wyprodukowane w Polsce.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
70
72
74
76
79


Szerokość pod pachami
60
62
65
67
69


";1;1
18;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6734/przod.jpg;Hoodie Hotel Maffija 2 Frozen Black; Ubrania, Bluzy;demo_18;249,99 zł;0;20.12.2022;20.01.2023;1;598;"Oficjalny merch projektu Hotel Maffija 2.Klasyczna bluza z kapturemNa piersi haft.Na plecach nadruk wykonany metodą sitodruku.95% bawełna 5% poliester.Gramatura 280g/m2.Wyprodukowane w Polsce.



 
Rozmiar


 
XS
S
M
L
XL
XXL




Długość całkowita
69
71
73
75
77
79


Szerokość pod pachami
60
62
64
66
68
70


Długość rękawa od kaptura
70
72,5
75
77,5
80
82



 ";1;1
19;https://sbmstore.pl//environment/cache/images/380_380_productGfx_3386/3362-sbm-fw18-04-wmn-croptop-2-bialy-1.jpg,https://sbmstore.pl//userdata/public/gfx/3386/3362-sbm-fw18-04-wmn-croptop-2-bialy-1.jpg,https://sbmstore.pl//userdata/public/gfx/3364/sbm-fw18-04-WMN-croptop-2-bialy-2.jpg,https://sbmstore.pl//userdata/public/gfx/3366/sbm-fw18-04-WMN-croptop-2-bialy-3.jpg;Crop-Top Movement White; Damskie, Koszulki;demo_19;79,99 zł;0;20.12.2022;20.01.2023;1;533;"

Krótki damski t-shirt.Z przodu nadruk wykonany metodą sitodruku.Rękawki podwójnie podwinięte.Z tyłu metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowane w Polsce.
";1;1
20;https://sbmstore.pl//environment/cache/images/380_380_productGfx_5334/4904-ainoesce-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/5334/4904-ainoesce-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/5332/4904-ainoesce-czarna-tyl.jpg;Hoodie Ainoesce Black; Ubrania, Bluzy;demo_20;229,99 zł;0;20.12.2022;20.01.2023;1;483;"Oficjalna bluza z kapturem promująca najnowszą epkę Adiego Nowaka - Nienajseksowniesze EP.
Z przodu haftowany grzybek.
Z tyłu na dole metka żakardowa.
95% bawełna 5% poliester
Wyprodukowano w Polsce.

RozmiarXSSMLXLXXLDługość całkowita606871767983Długość rękawa mierzona od ramienia616666,5676869Szerokość pod pachami54,55960,562,56467,5
";1;1
21;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6362/hoodie-lila-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/6362/hoodie-lila-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/6364/hoodie-lila-przod.jpg,https://sbmstore.pl//userdata/public/gfx/6366/hoodie-lila-detal.jpg,https://sbmstore.pl//userdata/public/gfx/6368/hoodie-lila-detal3.jpg,https://sbmstore.pl//userdata/public/gfx/6370/hoodie-lila-detal2.jpg;Hoodie Basic Lilac; Męskie, Bluzy;demo_21;249,99 zł;0;20.12.2022;20.01.2023;1;655;"Klasyczna bluza z kapturem.Z przodu i z tyłu nadruk pod kolor wykonany metodą sitodruku.Z przodu naszyta metka żakardowa.Wnętrze wykonane z bawełny pętelkowej.95% bawełna 5% poliester.Wyprodukowane w Polsce.
RozmiarXSSMLXLXXLDługość całkowita63,565,568,5727680,5Długość rękawa mierzona od ramienia656666,5687070Szerokość pod pachami54586063,56465,5


";1;1
22;https://sbmstore.pl//environment/cache/images/380_380_productGfx_5832/RR-distressed3_1.png,https://sbmstore.pl//userdata/public/gfx/5832/RR-distressed3_1.png,https://sbmstore.pl//userdata/public/gfx/5840/RR-distressed3_tyl.png;Hoodie Bedoes & Lanek Lipstick Black; Ubrania, Bluzy;demo_22;259,99 zł;0;20.12.2022;20.01.2023;1;476;"Oficjalna bluza stworzona na potrzeby projektu Bedoes & Lanek - Rewolucja Romantyczna.
Nadruki wykonane metodą sitodruku.
95% bawełna 5% poliester
Gramatura 350g
Szwy widoczne na wierzchu (celowy zabieg)
Krój oversize
Wyprodukowane w Polsce.
RozmiarXSSMLXLXXLDługość całkowita626568717477Szerokość pod pachami606366697275Długość rękawa585960,56263,565












";1;1
23;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6648/h2-0_Easy-Resize.com.jpg,https://sbmstore.pl//userdata/public/gfx/6648/h2-0_Easy-Resize.com.jpg,https://sbmstore.pl//userdata/public/gfx/6650/h2-2_Easy-Resize.com.jpg;Hoodie Heart Navy; Ubrania, Bluzy;demo_23;279,99 zł;0;20.12.2022;20.01.2023;1;822;"DATA PREMIERY: 29.10.2021PLANOWANA DATA DOSTAWY: 28.10.2021
Oficjalna bluza wyprodukowana na potrzeby projektu Adi Nowak - Ognisko Niedomowe.Nadruk wykonany metodą sitodruku.Kieszeń tunelowa wewnętrzna.95% bawełna 5% poliester najlepszej jakości bawełna.Wyprodukowane w Polsce.
RozmiarXSSMLXLXXLDługość całkowita687176798386Długość rękawa mierzona od ramienia56,55860636465Szerokość pod pachami5960,562,56467,569

";1;1
24;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6652/h1-1_Easy-Resize.com.jpg,https://sbmstore.pl//userdata/public/gfx/6652/h1-1_Easy-Resize.com.jpg,https://sbmstore.pl//userdata/public/gfx/6654/h1-2_Easy-Resize.com.jpg;Hoodie House Fire Black; Ubrania, Bluzy;demo_24;279,99 zł;0;20.12.2022;20.01.2023;1;773;"DATA PREMIERY: 12.11.2021PLANOWANA DATA DOSTAWY: 10.11.2021
Oficjalna bluza wyprodukowana na potrzeby projektu Adi Nowak - Ognisko Niedomowe.Domek i grafika na plecach wykonana metodą sitodruku.Ogień i grzybek na rękawie wykonany z wykorzystaniem różowej folii refleksyjnej.Kieszeń tunelowa wewnętrzna.95% bawełna 5% poliester najlepszej jakości bawełna.Wyprodukowane w Polsce.
RozmiarXSSMLXLXXLDługość całkowita687176798386Długość rękawa mierzona od ramienia56,55860636465Szerokość pod pachami5960,562,56467,569

";1;1
25;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6714/kacperczyk-2021-5-hoodie-1.jpg,https://sbmstore.pl//userdata/public/gfx/6714/kacperczyk-2021-5-hoodie-1.jpg,https://sbmstore.pl//userdata/public/gfx/6712/kacperczyk-2021-5-hoodie-2.jpg;Hoodie Kacperczyk Crisis Black; Ubrania, Bluzy;demo_25;249,99 zł;0;20.12.2022;20.01.2023;1;759;"Oficjalna bluza z kapturem projektu Kacperczyk - Kryzys Wieku Wczesnego.Z przodu i na plecach nadruk wykonany metodą sitodruku.95% bawełna 5% poliester.Wyprodukowane w Polsce.




 
Rozmiar


 
XS
S
M
L
XL
XXL




Długość całkowita
69
71
73
75
77
79


Szerokość pod pachami
60
62
64
66
68
70


Długość rękawa od kaptura
70
72,5
75
77,5
80
82



 ";1;1
26;https://sbmstore.pl//environment/cache/images/380_380_productGfx_3860/spodnie-czarne-przod.jpg,https://sbmstore.pl//userdata/public/gfx/3860/spodnie-czarne-przod.jpg,https://sbmstore.pl//userdata/public/gfx/3866/spodnie-czarne-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/3864/spodnie-czarne-detal2.jpg,https://sbmstore.pl//userdata/public/gfx/3862/spodnie-czarne-detal.jpg;Jogger Pants Black; Męskie, Spodnie;demo_26;199,99 zł;0;20.12.2022;20.01.2023;1;458;"Czarne spodnie typu jogger.Na lewej nogawce nadruk z wykorzystaniem folii wypukłej.Doczepiane dwa pasy z cordury z naszytą metką żakardową.Dwie kieszenie boczne.Z tyłu dwie kieszenie pod patką.65% bawełna 35% poliester.Wyprodukowane w Polsce.
RozmiarSMLXLXXLDługość całkowita9597100,5103105Szerokość w pasie3839414346Szerokość w udzie2930,5313232
";1;1
27;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4426/sukienka-d-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4426/sukienka-d-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4422/sukienka-d-czarna-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/4420/sukienka-d-czarna-detal.jpg,https://sbmstore.pl//userdata/public/gfx/4424/sukienka-d-czarna-detal2.jpg;Long Hoodie Woman Tape 2.0 Black; Damskie, Bluzy;demo_27;179,99 zł;0;20.12.2022;20.01.2023;1;47;"Czarna tunika z kapturem o kroju oversize.
Po bokach i przy kapturze wszyte taśmy z nadrukowanym logo.
Na dole naszyta metka żakardowa.
Materiał: Pensoft 220g
Wyprodukowane w Polsce.

RozmiarXSSMDługość całkowita8587,589Szerokość pod pachami5256,558,5

";1;1
28;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4434/sukienka-d-rozowa-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4434/sukienka-d-rozowa-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4428/sukienka-d-rozowa-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/4430/sukienka-d-rozowa-detal.jpg,https://sbmstore.pl//userdata/public/gfx/4432/sukienka-d-rozowa-detal2.jpg;Long Hoodie Woman Tape 2.0 Coral; Damskie, Bluzy;demo_28;179,99 zł;0;20.12.2022;20.01.2023;1;580;"Koralowa tunika z kapturem o kroju oversize.
Po bokach i przy kapturze wszyte taśmy z nadrukowanym logo.
Na dole naszyta metka żakardowa.
Materiał: Pensoft 220g
Wyprodukowane w Polsce.
RozmiarXSSMDługość całkowita8587,589Szerokość pod pachami5256,558,5
";1;1
29;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4340/sukienka-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4340/sukienka-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4338/sukienka-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/4344/sukienka-detal.jpg,https://sbmstore.pl//userdata/public/gfx/4342/sukienka-detal2.jpg,https://sbmstore.pl//userdata/public/gfx/4400/DSC_0824.jpg,https://sbmstore.pl//userdata/public/gfx/4402/DSC_0801.jpg;Long Hoodie Woman Tape 2.0 White; Damskie, Bluzy;demo_29;179,99 zł;0;20.12.2022;20.01.2023;1;783;"Biała tunika z kapturem o kroju oversize.Po bokach i przy kapturze wszyte taśmy z nadrukowanym logo.Na dole naszyta metka żakardowa.Materiał: Pensoft 220gWyprodukowane w Polsce.
RozmiarXSSMDługość całkowita8587,589Szerokość pod pachami5256,558,5
";1;1
30;https://sbmstore.pl//environment/cache/images/380_380_productGfx_3986/golf-czarny-przod.jpg,https://sbmstore.pl//userdata/public/gfx/3986/golf-czarny-przod.jpg,https://sbmstore.pl//userdata/public/gfx/3984/golf-czarny-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/3988/golf-czarny-detal.jpg,https://sbmstore.pl//userdata/public/gfx/3982/golf-czarny-detal2.jpg;Longsleeve Golf Black; Męskie, Koszulki;demo_30;114,99 zł;0;20.12.2022;20.01.2023;1;838;"Ostatnie sztukiCzarny półgolf. Na kołnierzu mała skórka z logo, u dołu metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowane w Polsce.

RozmiarSMLXLXXLDługość całkowita6870,5747679Długość rękawa od ramienia66,5707275,577Szerokość pod pachami50,552,55558,561,5
";1;1
31;https://sbmstore.pl//environment/cache/images/380_380_productGfx_5918/SBM-maseczka-biala.jpg;Mask SBM White; Akcesoria,Mask SBM White;demo_31;19,99 zł;0;20.12.2022;20.01.2023;1;967;"Maseczka higieniczna wielokrotnego użytku.Maseczkę można prać i prasować.
Ten produkt nie jest chirurgiczną ani oddechową maską, ani też osobistym czy medycznym wyposażeniem ochronnym. Jest to produkt wyłącznie do użytku prywatnego i nie nadaje się do użytku medycznego ani do zapewnienia bezpieczeństwa pracy. Produkt nie chroni przed infekcjami. W przypadku zakupu tego produktu nie obowiązuje polityka zwrotów. Ustawowe prawa pozostają takie same.


";1;1
32;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6420/spodenki-przod.jpg,https://sbmstore.pl//userdata/public/gfx/6420/spodenki-przod.jpg,https://sbmstore.pl//userdata/public/gfx/6418/spodenki-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/6422/spodenki-detal.jpg,https://sbmstore.pl//userdata/public/gfx/6424/spodenki-detal2.jpg;Shorts SBM Sport Black; Ubrania, Spodnie;demo_32;129,99 zł;0;20.12.2022;20.01.2023;1;334;"Czarne szorty bawełniane.Po bokach naszyte taśmy żakardowe.Dwie kieszenie boczne i jedna z tyłu.W pasie ściągacz i sznurek.Na nogawce naszyta metka żakardowa.100% bawełna.Wyprodukowane w Polsce.

RozmiarSMLXLXXLDługość całkowita4850535355Szerokość w pasie3740414345Szerokość w udzie3030323334
";1;1
33;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4580/4156-spodenki-damskie-rozowe-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4580/4156-spodenki-damskie-rozowe-przod.jpg,https://sbmstore.pl//userdata/public/gfx/4582/4158-spodenki-damskie-rozowe-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/4584/4160-spodenki-damskie-rozowe-detal.jpg;Shorts Woman SBM Coral; Damskie, Spodnie;demo_33;89,99 zł;0;20.12.2022;20.01.2023;1;34;"Koralowe damskie szorty bawełniane.
Po bokach naszyte taśmy z nadrukiem.
W pasie ściągacz i sznurek.
100% bawełna.
Wyprodukowane w Polsce.
RozmiarSMLDługość całkowita282930Szerokość w pasie323436Szerokość nogawki272829
";1;1
34;https://sbmstore.pl//environment/cache/images/380_380_productGfx_5328/5272-adi-nowak-nienajseksowniejsze-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/5328/5272-adi-nowak-nienajseksowniejsze-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/5340/5270-adi-nowak-nienajseksowniejsze-czarna-tyl-2.jpg;T-shirt Adi Nowak - Nienajseksowniejsze EP Black; Ubrania, Koszulki;demo_34;89,99 zł;0;20.12.2022;20.01.2023;1;706;"Oficjalny t-shirt promujący najnowszą epkę Adiego Nowaka - Nienajseksowniejsze EP.Nadruki wykonane zostały metodą sitodruku.Z tyłu na dole metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowano w Polsce.

RozmiarXSSMLXLXXLDługość całkowita707275798285Szerokość pod pachami485052555860";1;1
35;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4540/FPS-przod-1.jpg,https://sbmstore.pl//userdata/public/gfx/4540/FPS-przod-1.jpg,https://sbmstore.pl//userdata/public/gfx/4578/FPS-tyl-3-2.jpg,https://sbmstore.pl//userdata/public/gfx/4542/FPS-detal-1.jpg;T-shirt Bedoes & Lanek - FPS; Produkty bez przypisanej kategorii,T-shirt Bedoes & Lanek - FPS;demo_35;99,99 zł;20;20.12.2022;20.01.2023;1;893;" 10% zysku z koszulek została przekazane na fundację Amstaff AzylOficjalny czarny t-shirt z nadchodzącego projektu Bedoes i Lanek - FPS (Forsa Ponad Szmaty). Wszystkie nadruki wykonane metodą sitodruku. 100% najlepszej jakości bawełna. Koszulka wyprodukowana w Polsce.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
72
75
79
82
85


Szerokość pod pachami
50
52
55
58
60



 
Projekt Bedoes & Lanek już wkrótce...
";1;1
36;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6372/ts-sbm-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/6372/ts-sbm-czarna-przod.jpg,https://sbmstore.pl//userdata/public/gfx/6374/ts-sbm-czarna-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/6376/ts-sbm-czarna-detal.jpg,https://sbmstore.pl//userdata/public/gfx/6378/ts-sbm-czarna-detal2.jpg;T-shirt BOGO Black; Męskie, Koszulki;demo_36;99,99 zł;0;20.12.2022;20.01.2023;1;637;"Klasyczny t-shirt.Z przodu nadruk wykonany metodą sitodruku.Na dole z boku metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowane w Polsce.
RozmiarXSSMLXLXXLDługość całkowita67,57275777983Szerokość pod pachami515256,558,560,562";1;1
